Item,Description,Quantity,Unit Price ($),Total Price($),Link,Total Cost($)
Extruder,feeds the filament to the hotend,1,3.16,3.73,https://robocraze.com/products/extruder-kit-left-side-upgraded-red-mk8-all-metal-bowden-for-1-75mm-filament?variant=43145398649056&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&campaignid=22271813913&adgroupid=&keyword=&device=c&gad_source=1&gad_campaignid=22271815110&gbraid=0AAAAADgHQva6jvmpOhqVAkFTlTwsnnc30&gclid=Cj0KCQiA5uDIBhDAARIsAOxj0CEOEqOSGZT4HHOjxi722IxzfjsoX6pNYRvlPy0ElLaoR9HRu1JLGw4aAlz8EALw_wcB,3.73
Hotend,"heats the plastic, to print",1,5.63,6.86,https://robu.in/product/1-75mm-bowden-extruder-full-kit/?gad_source=1&gad_campaignid=17427803012&gbraid=0AAAAADvLFWfrs3nAyqhdo_oIC-LKoX-cD&gclid=Cj0KCQiA5uDIBhDAARIsAOxj0CF2AVlF8gtVqOTD5FJsZSwp7oXhq1ZsQARhuayw0Tttq2hD29_a8y4aAlxwEALw_wcB,6.86
Nema17HS4401,Main motors for the printer.,4,4.86,5.93,https://robocraze.com/products/17hs4401s-nema-17-stepper-motor?variant=40193555300505&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&campaignid=22271813913&adgroupid=&keyword=&device=c&gad_source=1&gad_campaignid=22271815110&gbraid=0AAAAADgHQva6jvmpOhqVAkFTlTwsnnc30&gclid=Cj0KCQiA5uDIBhDAARIsAOxj0CHQRRF8sfshMjxFnW_1mEzAiV4ahQ0p6TkGJR2iwVNWuovlp-LSCjQaAvqwEALw_wcB,23.72
300x300 Heatbed,"Heats the bed to make the plastic stick to bed, for no warping",1,7.18,8.75,https://robocraze.com/products/reprap-mk2b-3d-printers-dual-power-pcb-heatbed-with-14awg-cable?variant=43176612856032&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&campaignid=22271813913&adgroupid=&keyword=&device=c&gad_source=1&gad_campaignid=22271815110&gbraid=0AAAAADgHQva6jvmpOhqVAkFTlTwsnnc30&gclid=Cj0KCQiA5uDIBhDAARIsAOxj0CGrIf5LJNUYJANwd7fXu5tEyEbtXlRgXSMuJD9Sw4yaXpmbIAFJvsMaAoW6EALw_wcB,8.75
SKR Mini E3 V3,Motherboard,1,24.59,29.99,https://biqu.equipment/products/bigtreetech-skr-mini-e3-v2-0-32-bit-control-board-for-ender-3?variant=39982232174690,29.99
Rasberry pi 3b,Used for klipper,1,45,53.1,https://quartzcomponents.com/products/raspberry-pi-3-model-b?variant=32114913738887&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic?utm_source=google&utm_medium=FreeListings&gad_source=1&gad_campaignid=21214248935&gbraid=0AAAAACPPFdOCP1HpO1oHQTpNdFsjNK7r5&gclid=Cj0KCQiA5uDIBhDAARIsAOxj0CF1au_kGUbkhGDHDo8ElGhoCT-f4ZLpxamalbFNmxTY_AFAJQOjnV8aAi8wEALw_wcB,53.1
TFT35 V3.0.1,Screen,1,34.51,40.72,https://novo3d.in/tft35-display/?srsltid=AfmBOoomMmJqnN05sYLEnnuBxC0JSbHL-wfcs5xz5EmsVGKQdcq9MfuO,40.72
20t pulleys for motors,To be mounted on the nema17 motors for xy system,2,0.25,0.3,https://robu.in/product/gt2-6mm-belt-width-20-teeth-5mm-bore-timing-pulley/?gad_source=1&gad_campaignid=21296336107&gbraid=0AAAAADvLFWedBPtY5m1XnLM8yOS2vrHYC&gclid=Cj0KCQiA5uDIBhDAARIsAOxj0CFaSWDfmAXa9krEhSmlQYFeSybWOj88TL-pI9nNv6RaKF3c0Y66uJsaAmGwEALw_wcB,0.6
"20t, 60t set",conveyor system,1,3.07,3.74,https://makerbazar.in/products/aluminum-gt2-timing-pulley-set-with-belt-synchronous-wheel-kit-for-3d-printers-cnc-machines?variant=48251018739952&country=IN&currency=INR&utm_source=chatgpt.com,3.74
20T smooth idler pulleys,xy system,2,1.16,1.42,https://roboticsdna.in/product/gt2-aluminium-pulley-without-20-teeth-3mm-bore-for-6mm-belt/?src=google&kwd=&adgroup={adgroup}&device=c&campaign={campaign}&adgroup={adgroup}&keyword=&matchtype=&gad_source=1&gad_campaignid=22848048128&gbraid=0AAAAAC-xzeGc_8BmpA9wiJR4OjijYdfyh&gclid=Cj0KCQiA5uDIBhDAARIsAOxj0CHcK2Swau9Dj9vmhQ46yaZPYsNOYQeyDX1Nxxo_1XWvfHxcv6LB-cEaAtuAEALw_wcB,2.84
20t puleys,xy system,6,0.66,0.8,https://roboticsdna.in/product/20teeth-perlin-pulley-gt2-with-teeth-5mm-bore-for-belt-10mm-idler-wheel/?utm_source=chatgpt.com,4.8
GT2 BELT,xy system,1,6.63,8.08,https://robu.in/product/5-meter-x-gt2-open-timing-belt-6mm-width/?gad_source=1&gad_campaignid=17427803012&gbraid=0AAAAADvLFWfrs3nAyqhdo_oIC-LKoX-cD&gclid=Cj0KCQiA5uDIBhDAARIsAOxj0CErQwBlrGaIQC6_BNQ9wJM6cxCyit616dV5wbBOAJC6ZS3lwTaQ7tsaAlznEALw_wcB,8.08
2020 Aluminium Extrusion, frame (570*2 + 350*5 + 410*2 + 245*2 +310),1,18.81,22.94,https://novo3d.in/aluminium-profiles-2020/?srsltid=AfmBOooHPrxHLBtpVYEFeRwBr_R9bM24LhwaJ4XNkyoU_ZMqe7XdZPGg,22.94
Sliding nuts for aluminium extrusion,nuts that slide in the grooves of the aluminium extrusion (100),1,6.81,8.31,https://novo3d.in/sliding-t-nut/,8.31
Bed levelling screw set,to mount the heatbed ,1,2.39,2.91,https://evelta.com/3d-printer-heatbed-leveling-kit/?utm_source=google&utm_campaign=23135541320&utm_medium=cpc&utm_content=779150519739&utm_term=&gad_source=1&gad_campaignid=23135541320&gbraid=0AAAAADwtsXkpKhU6vH3NeMUGj3NwckNjp&gclid=Cj0KCQiA5uDIBhDAARIsAOxj0CHCyS_G8vw2_T9S23vRMH_kQJ9kwHHppnXIFbTOZb9ylCplsRrlxVQaAki2EALw_wcB,2.91
5mm Smooth rod,for x axis toolhead (300mm),1,2.38,2.9,https://www.amazon.in/Invento-2pcs-Smooth-Rod-5mm/dp/B078P46JZ5?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=AJ6SIZC8YQDZX,2.9
8mm smooth rod,for conveyor (700mm),2,2,2.44,https://robu.in/product/400-mm-long-chrome-plated-smooth-rod-diameter-8-mm/?gad_source=1&gad_campaignid=17427803012&gbraid=0AAAAADvLFWfrs3nAyqhdo_oIC-LKoX-cD&gclid=Cj0KCQiA5uDIBhDAARIsAOxj0CGJUzjCaMXoJ_5gLAcF_QrnFwj-HtPX6LToPEn4lxgGrUpneeSBa0kaAkghEALw_wcB,4.88
lm5uu,for toolhead,1,0.91,1.11,https://www.flyrobo.in/lm5uu-5mm-linear-motion-bearing-for-3d-printer?srsltid=AfmBOooIQJIhRAB9kidgujItJzGO3VdSr89byp-FgJJd2RVJJc6B2cpu,1.11
kp08,for conveyor ,8,0.68,0.83,https://robu.in/product/8mm-inner-diameter-zinc-alloy-pillow-block-flange-bearing-kfl08/?gad_source=1&gad_campaignid=20387462343&gbraid=0AAAAADvLFWcbjpr8D7J1dzI6qnUO-ps6k&gclid=Cj0KCQiA5uDIBhDAARIsAOxj0CEPx-Pun5eu5_sNJd9NxrxiPzwoQzXDH0tIN6bOrJY2QjidQ-4akesaAgsHEALw_wcB,6.64
linear rail mgn12,xy system,1,32.09,39.14,https://robu.in/product/mgn12h-linear-guide-rail-1m-2/,39.14
mgn12c block,"for xy system, i alr have 1 extra.",3,0,,,
5015 fan,for hotend,1,0.5,0.61,https://robu.in/product/dc-5v-0-06a-5015-double-ball-centrifugal-fan-with-xh2-54-2p-30cm-cable-size505015mm/?gad_source=1&gad_campaignid=20381096599&gbraid=0AAAAADvLFWcXQE4E6f3wEk-sk6nAlsmWk&gclid=Cj0KCQiA5uDIBhDAARIsAOxj0CHbCLA9jR7svJ6mGGb5uP7K7QS2VXspib_pWqibBCCGQpsh6LPO2ocaAq-kEALw_wcB,0.61
24V 16.7A 400W Power Supply,Converts AC to DC to use for printer,1,46.46,56.66,https://www.mouser.in/ProductDetail/MEAN-WELL/ERPF-400-24?qs=%2F4l0xfHu0FWiPMjuUYYpcA%3D%3D&mgh=1&srsltid=AfmBOooKejuXIaqHC3d5xytc3lmloUKioCwPpSgMoBgdiT7cbZVtdlnF_dc,56.66
16awg wire,For heatbed and psu,1,0.46,0.56,https://robu.in/product/ultra-flexible-16awg-silicone-wire-100-m-blue/?gad_source=1&gad_campaignid=17427802559&gbraid=0AAAAADvLFWeNByGrIf6RVxLzFAr-HC-dC&gclid=Cj0KCQiA5uDIBhDAARIsAOxj0CHZqv8JPYhe--8E5vPmTjscaV2TtG4Yr8fwEbrCsffVEVXs2QXCUGIaAhwFEALw_wcB,0.56
18awg wire,for general wiring,1,0.46,0.56,https://robu.in/product/ul1007-18awg-pvc-electronic-wire-green/?gad_source=1&gad_campaignid=17427802559&gbraid=0AAAAADvLFWeNByGrIf6RVxLzFAr-HC-dC&gclid=Cj0KCQiA5uDIBhDAARIsAOxj0CGF3mXQMl5oB2H8a47zdiXZap7fpG9CVYVJSEalgf5lbWyVFTlxPFQaAvvREALw_wcB,0.56
wire crimper,for crimping wires,1,2.53,3.08,https://makerbazar.in/products/crimping-tool-multi-tool-wire-stripper-cutter-pliers?variant=48251036696816&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=17426677322&gbraid=0AAAAACLxaAYTr9V5x7gxhf_-eRfg0oue8&gclid=Cj0KCQiA5uDIBhDAARIsAOxj0CG2qIRQzaSWj91AOux1ogxvNwBGVo9dyPiHAm0FLBa-T7jrhGLESusaAiZ-EALw_wcB,3.08
WIRE crimping set,2.54,1,2.61,3.18,https://makerbazar.in/products/230pcs-jst-xh-2-54mm-terminal-connectors-kit?variant=44076187353328&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=17426677322&gbraid=0AAAAACLxaAYTr9V5x7gxhf_-eRfg0oue8&gclid=Cj0KCQiA5uDIBhDAARIsAOxj0CHT2JAz2xR1qgLK6_lAuaD97FrdzfH0y7eAy1Sgg8jznuj39fdGiCAaAlgdEALw_wcB,3.18
V6 Hotend Aluminum Bracket,,1,2.55,3.11,https://novo3d.in/e3d-v6-fixed-block/?srsltid=AfmBOoppGNvxrsud4SM40-WxvbL8cn3zj8qTRHRbEsWPsrtKp-JOL4mP,3.11
filament runout,detects runour of filament,1,1.99,2.43,https://evelta.com/filament-detection-sensor-for-1-75mm-black/?utm_adgroup=&utm_network=x&utm_device=c&utm_ad=&utm_campaignid=21897636396&utm_adgroupid=&utm_extensionid=&utm_matchtype=&utm_devicemodel=&utm_gclid=Cj0KCQiA5uDIBhDAARIsAOxj0CEYPrgEIoEoo1RCQHvRKP4Fdnhnw6yjhLde1mGrlRjG1Rv7ZhzUeowaAvd_EALw_wcB&utm_location=9061997&utm_source=google&utm_medium=cpc&utm_term=&utm_campaign=&gad_source=1&gad_campaignid=21897654939&gbraid=0AAAAADwtsXm0pfWK8xqVtjJ7S2LHAqmLJ&gclid=Cj0KCQiA5uDIBhDAARIsAOxj0CEYPrgEIoEoo1RCQHvRKP4Fdnhnw6yjhLde1mGrlRjG1Rv7ZhzUeowaAvd_EALw_wcB,2.43
heatbed thermistor,measures heatbed temp,1,1.15,1.4,https://robu.in/product/creality-hotbed-thermistor/?gad_source=1&gad_campaignid=17427803012&gbraid=0AAAAADvLFWfrs3nAyqhdo_oIC-LKoX-cD&gclid=Cj0KCQiA5uDIBhDAARIsAOxj0CFTHyhzTrh5aPj8S76AFz3GbXH2Y55IqOQHyYNkTiWlIcy3WVTL7O4aAvLyEALw_wcB,1.4
ptfe tube,connects from extruder to hotend,1,0.53,0.65,https://robu.in/product/ptfe-2x4mm-teflon-tubing-for-3d-printers-1-75mm-filament-1m/?gad_source=1&gad_campaignid=17427803012&gbraid=0AAAAADvLFWfrs3nAyqhdo_oIC-LKoX-cD&gclid=Cj0KCQiA5uDIBhDAARIsAOxj0CFoRy4bb2gAqbQXiMvJQ0B58HLI-VGoHXlZNpL-rUIo6WzDH9-gyo4aAnN0EALw_wcB,0.65
endstops,to detect the end of an axis (i alr have this),2,0.41,0.5,https://zbotic.in/product/omron-3d-printer-limit-switch-endstop-ss-5gl/?gad_source=1&gad_campaignid=20903026778&gbraid=0AAAAACTNRdWRhKJHuaPIVT9sswtoXqhBI&gclid=Cj0KCQiA5uDIBhDAARIsAOxj0CHZH3otSCKl498gQEzX_sB3qJxUHGXfi5OqR6NlqXzmIHh4K8CbTokaAvviEALw_wcB,1
closed belt loop,for the conveyor nema17 to the rod,1,0.43,0.53,https://robocraze.com/products/gt2-rubber-timing-belt-closed-loop-6mm-width-for-3d-printer-cnc-6mm-width-and-280mm-long?variant=43101459415264&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&campaignid=22271813913&adgroupid=&keyword=&device=c&gad_source=1&gad_campaignid=22271815110&gbraid=0AAAAADgHQva6jvmpOhqVAkFTlTwsnnc30&gclid=Cj0KCQiA5uDIBhDAARIsAOxj0CFg9wXTD8YjNHsi4bObmWdqHJJ2gisZ8nqwWp_Umm52ijUmGB7xcXoaAjDaEALw_wcB,0.53
conveyor,the main conveyor the filament gets printed on,1,27.54,33.58,indiamart,33.58
m3x6,m3 screws,100,0.02,0.02,https://onlyscrews.in/products/phillips-csk-m3-x-8mm-pack-of-20,2
m3x22,m3 screws,10,0.02,0.03,https://onlyscrews.in/products/m3-x-25mm-phillips-csk-ss-304-screw,0.3
m6x10,m6 screws,10,0.04,0.05,https://onlyscrews.in/products/m6-x-16mm-phillips-csk-ss-304-screw-dia-6mm-length-16mm,0.5
